StockTicker,TradeDate
ACHN,1/1/2019 12:00:00 AM
THOR,1/1/2019 12:00:00 AM
INCY,1/1/2019 12:00:00 AM
TXG,1/1/2019 12:00:00 AM
BIIB,1/1/2019 12:00:00 AM
MACK,1/1/2019 12:00:00 AM
VRML,1/1/2019 12:00:00 AM
SLP,1/1/2019 12:00:00 AM
ZFGN,1/1/2019 12:00:00 AM
A,1/1/2019 12:00:00 AM
XBIT,1/1/2019 12:00:00 AM
REGN,1/1/2019 12:00:00 AM
ANAB,1/1/2019 12:00:00 AM
HALO,1/1/2019 12:00:00 AM
ARWR,1/1/2019 12:00:00 AM
ILMN,1/1/2019 12:00:00 AM
SGEN,1/1/2019 12:00:00 AM
VRTX,1/1/2019 12:00:00 AM
MBOT,1/1/2019 12:00:00 AM
MRTX,1/1/2019 12:00:00 AM
MDT,1/1/2019 12:00:00 AM
AZN,1/1/2019 12:00:00 AM
NBIX,1/1/2019 12:00:00 AM
OPGN,1/1/2019 12:00:00 AM
GLW,1/1/2019 12:00:00 AM
ENZ,1/1/2019 12:00:00 AM
NKTR,1/1/2019 12:00:00 AM
XON,1/1/2019 12:00:00 AM
DRNA,1/1/2019 12:00:00 AM
IOVA,1/1/2019 12:00:00 AM
CVM,1/1/2019 12:00:00 AM
CASI,1/1/2019 12:00:00 AM
KOD,1/1/2019 12:00:00 AM
IONS,1/1/2019 12:00:00 AM
CBAY,1/1/2019 12:00:00 AM
VNDA,1/1/2019 12:00:00 AM
VCYT,1/1/2019 12:00:00 AM
REPH,1/1/2019 12:00:00 AM
SNES,1/1/2019 12:00:00 AM
EPZM,1/1/2019 12:00:00 AM
QURE,1/1/2019 12:00:00 AM
NLNK,1/1/2019 12:00:00 AM
S,1/1/2019 12:00:00 AM
TWST,1/1/2019 12:00:00 AM
NOVN,1/1/2019 12:00:00 AM
ALNY,1/1/2019 12:00:00 AM
ALKS,1/1/2019 12:00:00 AM
ONVO,1/1/2019 12:00:00 AM
NTRA,1/1/2019 12:00:00 AM
MNOV,1/1/2019 12:00:00 AM
ORGS,1/1/2019 12:00:00 AM
EDIT,1/1/2019 12:00:00 AM
GILD,1/1/2019 12:00:00 AM
RGEN,1/1/2019 12:00:00 AM
CGEN,1/1/2019 12:00:00 AM
CRSP,1/1/2019 12:00:00 AM
TMUS,1/1/2019 12:00:00 AM
HBIO,1/1/2019 12:00:00 AM
AGEN,1/1/2019 12:00:00 AM
FATE,1/1/2019 12:00:00 AM
PSTV,1/1/2019 12:00:00 AM
